ID,CODCLI,NOMCLI,DESLOGO,CLASE,EXPEDIENTE,ESTADO,CERTIFICADO,VIGENCIA,OBSERVACIONES,MARCA
12,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,12,590290A-2014,Interpusimos recurso de apelación contra la Resolución N°1467-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Fiat Group Automobiles S.P.A. ,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada por la empresa Fiat Group Automobiles S.P.A. y denegó el registro de la marca.,590290a-2014.jpg
13,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,28,590290C-2014,Interpusimos recurso de apelación contra la Resolución N° 1433-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Mattel Inc.,,,"La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada por la empresa Mattel, Inc. y denegó el registro de la marca.",590290c-2014.jpg
14,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,"08, 12, 17, 18, 36, 42",580740-2014,Interpusimos recurso de apelación contra la Resolución N° 4641-2015/DSD-INDECOPI que denegó de oficio la marca en dichas clases. ,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que denegó el registro de la marca.,580740-2014.jpg
15,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,25,580740A-2014,Interpusimos recurso de apelación contra la Resolución N° 339-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Graciela Concepción Guzmán Carranza.,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada y denegó el registro de la marca.,580740a-2014.jpg
16,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,28,580740B-2014,Interpusimos recurso de apelación contra la Resolución N° 340-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Mattel Inc.,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada y denegó el registro de la marca.,580740b-2014.jpg
17,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,"8, 12, 17, 18, 36, 42",580739-2014,Interpusimos recurso de apelación contra la Resolución N° 4640-2015/DSD-INDECOPI que denegó de oficio nuestra marca en dichas clases. ,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que denegó de oficio el registro de la marca.,580739-2014.jpg
18,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,25,580739A-2014,Interpusimos recurso de apelación contra la Resolución N°337-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Graciela Concepción Guzmán Carranza.,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada y denegó el registro de la marca.,580739a-2014.jpg
19,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,28,580739B-2014,Interpusimos recurso de apelación contra la Resolución N° 338-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Mattel Inc.,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada y denegó el registro de la marca.,580739b-2014.jpg
20,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,"08, 17, 18, 36, 42",579715-2014,Interpusimos recurso de apelación contra la Resolución N° 4410-2015/DSD-INDECOPI que denegó de oficio nuestra marca en dichas clases. ,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que denegó de oficio el registro de la marca.,579715-2014.jpg
21,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,12,579715A-2014,Interpusimos recurso de apelación contra la Resolución N°2119-2014/CSD-INDECOPI que declaró fundada la oposición formulada por Fiat Group Automobiles S.P.A. ,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada por la empresa Fiat Group Automobiles S.P.A. y denegó el registro de la marca.,579715a-2014.jpg
